"start_typeName","start_depthzone","start_alongshorezone","end_typeName","end_depthzone","end_alongshorezone","typeName","id","parentID","origID","time","horizPos1","horizPos2","vertPos","track","alive","age","ageInStage","number","size","weight","temperature","salinity"
"egg01","SpawningArea_300to600m",8,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4782,4782,4782,"1997-09-18 09:20:00",-162.05759,54.31503,49.35964,"-162.05759:54.31503:-49.35964;-162.05759:54.31503:-49.35964;","false",259.88889,0.01389,600,44.63141,0,8.00061,32.01982
"egg01","SpawningArea_300to600m",8,"large.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4816,4816,4816,"1997-09-12 04:40:00",-157.87615,56.48299,33.49967,"-157.87615:56.48299:-33.49967;","true",253.69444,0,600,42.01477,0,9.26469,31.72773
"egg01","SpawningArea_300to600m",8,"large.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4816,4816,4816,"1997-09-12 05:00:00",-157.87615,56.48299,33.49967,"-157.87615:56.48299:-33.49967;-157.87615:56.48299:-33.49967;","false",253.70833,0.01389,600,42.01477,0,9.26469,31.72773
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","OffshelfZone",8,"benthic.juvenile",4862,4862,4862,"1997-09-20 07:00:00",-157.02429,56.55912,47.43726,"-157.02429:56.55912:-47.43726;","true",261.79167,0,600,44.8489,0,9.27038,32.05999
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","OffshelfZone",8,"benthic.juvenile",4862,4862,4862,"1997-09-20 07:20:00",-157.02429,56.55912,47.43726,"-157.02429:56.55912:-47.43726;-157.02429:56.55912:-47.43726;","false",261.80556,0.01389,600,44.8489,0,9.27038,32.05999
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",4864,4864,4864,"1997-09-12 12:00:00",-159.62938,55.02939,41.97879,"-159.62938:55.02939:-41.97879;","true",254,0,600,42.01477,0,10.45212,31.81093
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",4864,4864,4864,"1997-09-12 12:20:00",-159.62938,55.02939,41.97879,"-159.62938:55.02939:-41.97879;-159.62938:55.02939:-41.97879;","false",254.01389,0.01389,600,42.01477,0,10.48364,31.8146
"egg01","SpawningArea_300to600m",8,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4875,4875,4875,"1997-09-17 05:20:00",-159.4036,55.08059,47.16269,"-159.4036:55.08059:-47.16269;","true",258.72222,0,600,43.15623,0,7.71552,32.08407
"egg01","SpawningArea_300to600m",8,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4875,4875,4875,"1997-09-17 05:40:00",-159.4036,55.08059,47.16269,"-159.4036:55.08059:-47.16269;-159.4036:55.08059:-47.16269;","false",258.73611,0.01389,600,43.15623,0,7.71552,32.08407
"egg01","SpawningArea_300to600m",8,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4889,4889,4889,"1997-09-14 14:40:00",-160.20677,55.46753,40.71315,"-160.20677:55.46753:-40.71315;","true",256.11111,0,600,42.01477,0,8.28392,31.85171
"egg01","SpawningArea_300to600m",8,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4889,4889,4889,"1997-09-14 15:00:00",-160.20677,55.46753,40.71315,"-160.20677:55.46753:-40.71315;-160.20677:55.46753:-40.71315;","false",256.125,0.01389,600,42.01477,0,8.28392,31.85171
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","exited grid",-1,"benthic.juvenile",4898,4898,4898,"1997-09-11 07:00:00",-159.55172,54.71679,47.35526,"-159.55172:54.71679:-47.35526;","true",252.79167,0,600,42.01477,0,8.75376,32.01176
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","exited grid",-1,"benthic.juvenile",4898,4898,4898,"1997-09-11 07:20:00",-159.55172,54.71679,47.35526,"-159.55172:54.71679:-47.35526;-159.55172:54.71679:-47.35526;","false",252.80556,0.01389,600,42.01477,0,8.75376,32.01176
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","exited grid",-1,"benthic.juvenile",4936,4936,4936,"1997-09-12 01:40:00",-159.62088,55.58674,30.36804,"-159.62088:55.58674:-30.36804;","true",253.56944,0,600,42.01477,0,9.42448,31.67985
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","exited grid",-1,"benthic.juvenile",4936,4936,4936,"1997-09-12 02:00:00",-159.62088,55.58674,30.36804,"-159.62088:55.58674:-30.36804;-159.62088:55.58674:-30.36804;","false",253.58333,0.01389,600,42.01477,0,9.42448,31.67985
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",4947,4947,4947,"1997-09-15 16:00:00",-159.28198,55.07513,49.72235,"-159.28198:55.07513:-49.72235;","true",257.16667,0,600,43.6748,0,7.97059,32.13486
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",4947,4947,4947,"1997-09-15 16:20:00",-159.28198,55.07513,49.72235,"-159.28198:55.07513:-49.72235;-159.28198:55.07513:-49.72235;","false",257.18056,0.01389,600,43.6748,0,7.97059,32.13486
"egg01","SpawningArea_300to600m",8,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4957,4957,4957,"1997-09-11 16:00:00",-160.71298,55.41012,21.77571,"-160.71298:55.41012:-21.77571;","true",253.16667,0,600,42.00893,0,9.1966,31.60624
"egg01","SpawningArea_300to600m",8,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4957,4957,4957,"1997-09-11 16:20:00",-160.71298,55.41012,21.77571,"-160.71298:55.41012:-21.77571;-160.71298:55.41012:-21.77571;","false",253.18056,0.01389,600,42.00893,0,9.1966,31.60624
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","NurseryArea_050to150m",11,"benthic.juvenile",4994,4994,4994,"1997-09-13 11:20:00",-159.58273,55.2122,37.6104,"-159.58273:55.2122:-37.6104;","true",254.97222,0,600,42.00893,0,7.36437,32.26176
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","NurseryArea_050to150m",11,"benthic.juvenile",4994,4994,4994,"1997-09-13 11:40:00",-159.58273,55.2122,37.6104,"-159.58273:55.2122:-37.6104;-159.58273:55.2122:-37.6104;","false",254.98611,0.01389,600,42.00893,0,7.36437,32.26176
"egg01","SpawningArea_300to600m",8,"large.yolk.sac.larva","exited grid",-1,"benthic.juvenile",5090,5090,5090,"1997-09-14 13:40:00",-160.15909,55.0432,33.44883,"-160.15909:55.0432:-33.44883;","true",256.06944,0,600,42.01477,0,7.62288,31.94795
"egg01","SpawningArea_300to600m",8,"large.yolk.sac.larva","exited grid",-1,"benthic.juvenile",5090,5090,5090,"1997-09-14 14:00:00",-160.15909,55.0432,33.44883,"-160.15909:55.0432:-33.44883;-160.15909:55.0432:-33.44883;","false",256.08333,0.01389,600,42.01477,0,7.62288,31.94795
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",5133,5133,5133,"1997-09-11 20:40:00",-155.30242,57.75829,45.9109,"-155.30242:57.75829:-45.9109;","true",253.36111,0,600,42.01477,0,9.58659,31.75784
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",5133,5133,5133,"1997-09-11 21:00:00",-155.30242,57.75829,45.9109,"-155.30242:57.75829:-45.9109;-155.30242:57.75829:-45.9109;","false",253.375,0.01389,600,42.01477,0,9.58659,31.75784
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",5181,5181,5181,"1997-09-18 19:40:00",-162.20515,54.33374,49.58866,"-162.20515:54.33374:-49.58866;","true",260.31944,0,600,44.42732,0,7.19111,32.65804
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",5181,5181,5181,"1997-09-18 20:00:00",-162.20515,54.33374,49.58866,"-162.20515:54.33374:-49.58866;-162.20515:54.33374:-49.58866;","false",260.33333,0.01389,600,44.42732,0,7.19111,32.65804
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",5212,5212,5212,"1997-09-13 12:20:00",-159.32804,55.08211,45.3437,"-159.32804:55.08211:-45.3437;","true",255.01389,0,600,42.7565,0,7.91196,32.09307
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",5212,5212,5212,"1997-09-13 12:40:00",-159.32804,55.08211,45.3437,"-159.32804:55.08211:-45.3437;-159.32804:55.08211:-45.3437;","false",255.02778,0.01389,600,42.7565,0,7.91196,32.09307
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",5326,5326,5326,"1997-09-12 07:20:00",-162.27046,54.35131,49.69523,"-162.27046:54.35131:-49.69523;","true",253.80556,0,600,42.10239,0,7.32876,31.81308
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",5326,5326,5326,"1997-09-12 07:40:00",-162.27046,54.35131,49.69523,"-162.27046:54.35131:-49.69523;-162.27046:54.35131:-49.69523;","false",253.81944,0.01389,600,42.10239,0,7.32876,31.81308
"egg01","SpawningArea_300to600m",8,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",5339,5339,5339,"1997-09-13 13:00:00",-160.7131,55.41002,23.04986,"-160.7131:55.41002:-23.04986;","true",255.04167,0,600,42.00893,0,9.63077,31.52678
"egg01","SpawningArea_300to600m",8,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",5339,5339,5339,"1997-09-13 13:20:00",-160.7131,55.41002,23.04986,"-160.7131:55.41002:-23.04986;-160.7131:55.41002:-23.04986;","false",255.05556,0.01389,600,42.00893,0,9.63077,31.52678
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",5362,5362,5362,"1997-09-17 03:20:00",-161.9075,54.30633,49.24806,"-161.9075:54.30633:-49.24806;","true",258.63889,0,600,43.7598,0,7.39442,32.1193
"egg01","SpawningArea_300to600m",8,"postflexion.larva","exited grid",-1,"benthic.juvenile",5362,5362,5362,"1997-09-17 03:40:00",-161.9075,54.30633,49.24806,"-161.9075:54.30633:-49.24806;-161.9075:54.30633:-49.24806;","false",258.65278,0.01389,600,43.7598,0,7.39442,32.1193
